date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:26:59	73/73	---MCZ	200	added ('OK')	text/plain	date:Fri,%2004%20Jul%202025%2013:24:41%20GMT	https://wed-webs.com/robots.txt		(from )
00:26:59	176245/176245	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2017:27:00%20GMT	https://wed-webs.com/arnantopepita/	C:/My%20Web%20Sites/arnantopepita/wed-webs.com/arnantopepita/index.html	(from )
00:27:00	1471/1471	---MCZ	200	added ('OK')	text/css	date:Sun,%2025%20May%202025%2002:46:09%20GMT	https://wed-webs.com/wp-content/plugins/wedwebs-guest/assets/ww-frontend.css?ver=0.4.1	C:/My%20Web%20Sites/arnantopepita/wed-webs.com/wp-content/plugins/wedwebs-guest/assets/ww-frontend31ec.css	(from https://wed-webs.com/arnantopepita/)
00:27:01	5456/5456	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Jun%202025%2021:49:25%20GMT	https://wed-webs.com/wp-content/themes/hello-elementor/assets/css/reset.css?ver=3.4.4	C:/My%20Web%20Sites/arnantopepita/wed-webs.com/wp-content/themes/hello-elementor/assets/css/resetedb1.css	(from https://wed-webs.com/arnantopepita/)
00:27:01	5097/5097	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Jun%202025%2021:49:25%20GMT	https://wed-webs.com/wp-content/themes/hello-elementor/assets/css/theme.css?ver=3.4.4	C:/My%20Web%20Sites/arnantopepita/wed-webs.com/wp-content/themes/hello-elementor/assets/css/themeedb1.css	(from https://wed-webs.com/arnantopepita/)
00:27:02	7182/7182	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Jun%202025%2021:49:25%20GMT	https://wed-webs.com/wp-content/themes/hello-elementor/assets/css/header-footer.css?ver=3.4.4	C:/My%20Web%20Sites/arnantopepita/wed-webs.com/wp-content/themes/hello-elementor/assets/css/header-footeredb1.css	(from https://wed-webs.com/arnantopepita/)
00:27:02	53535/53535	---MCZ	200	added ('OK')	text/css	date:Sat,%2026%20Jul%202025%2004:47:00%20GMT	https://wed-webs.com/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1753505220	C:/My%20Web%20Sites/arnantopepita/wed-webs.com/wp-content/uploads/elementor/css/custom-frontend.min1c98.css	(from https://wed-webs.com/arnantopepita/)
00:27:04	7192/7192	---MCZ	200	added ('OK')	text/css	date:Sat,%2026%20Jul%202025%2004:47:00%20GMT	https://wed-webs.com/wp-content/uploads/elementor/css/post-25903.css?ver=1753505220	C:/My%20Web%20Sites/arnantopepita/wed-webs.com/wp-content/uploads/elementor/css/post-259031c98.css	(from https://wed-webs.com/arnantopepita/)
00:27:04	59344/59344	---MCZ	200	added ('OK')	text/css	date:Wed,%2023%20Jul%202025%2003:30:52%20GMT	https://wed-webs.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.30.3	C:/My%20Web%20Sites/arnantopepita/wed-webs.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min55cb.css	(from https://wed-webs.com/arnantopepita/)
00:27:05	26702/26702	---MCZ	200	added ('OK')	text/css	date:Wed,%2023%20Jul%202025%2003:30:52%20GMT	https://wed-webs.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.30.3	C:/My%20Web%20Sites/arnantopepita/wed-webs.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min55cb.css	(from https://wed-webs.com/arnantopepita/)
